group25, d : 152, weight = 0.375000, result = 6
group25, d : 402, weight = 0.375000, result = 7
group25, d : 112, weight = 0.375000, result = 17
group25, d : 62, weight = 0.250000, result = 15
group25, d : 182, weight = 0.375000, result = 12
group25, d : 292, weight = 0.250000, result = 6
group25, d : 172, weight = 0.375000, result = 9
group25, d : 102, weight = 0.375000, result = 12
group25, d : 32, weight = 0.250000, result = 8
group25, d : 82, weight = 0.250000, result = 8
group25, d : 132, weight = 0.375000, result = 12
group25, d : 22, weight = 0.375000, result = 8
group25, d : 42, weight = 0.375000, result = 9
group25, d : 12, weight = 0.375000, result = 6
group25, d : 272, weight = 0.375000, result = 10
group25, d : 92, weight = 0.375000, result = 6
group25, d : 422, weight = 0.375000, result = 8
group25, d : 202, weight = 0.375000, result = 17
group25, d : 2, weight = 0.375000, result = 11
group25, d : 492, weight = 0.500000, result = 7
group25, d : 332, weight = 0.500000, result = 9
group25, d : 262, weight = 0.500000, result = 12
group25, d : 122, weight = 0.500000, result = 6
group25, d : 472, weight = 0.500000, result = 11
group25, d : 442, weight = 0.500000, result = 6
group25, d : 412, weight = 0.500000, result = 7
group25, d : 312, weight = 0.500000, result = 8
group25, d : 402, weight = 0.500000, result = 6
group25, d : 382, weight = 0.500000, result = 6
group25, d : 152, weight = 0.500000, result = 11
group25, d : 212, weight = 0.500000, result = 10
group25, d : 112, weight = 0.500000, result = 7
group25, d : 182, weight = 0.500000, result = 8
group25, d : 322, weight = 0.375000, result = 7
group25, d : 462, weight = 0.375000, result = 9
group25, d : 482, weight = 0.375000, result = 5
group25, d : 172, weight = 0.500000, result = 10
group25, d : 452, weight = 0.375000, result = 9
group25, d : 102, weight = 0.500000, result = 9
group25, d : 352, weight = 0.375000, result = 7
group25, d : 432, weight = 0.375000, result = 6
group25, d : 282, weight = 0.375000, result = 14
group25, d : 242, weight = 0.375000, result = 10
group25, d : 142, weight = 0.375000, result = 7
group25, d : 252, weight = 0.375000, result = 7
group25, d : 362, weight = 0.375000, result = 7
group25, d : 232, weight = 0.500000, result = 9
group25, d : 192, weight = 0.375000, result = 8
group25, d : 302, weight = 0.375000, result = 5
group25, d : 162, weight = 0.375000, result = 7
group25, d : 132, weight = 0.500000, result = 3
group25, d : 222, weight = 0.375000, result = 7
group25, d : 392, weight = 0.375000, result = 13
group25, d : 342, weight = 0.375000, result = 12
group25, d : 372, weight = 0.375000, result = 10
group25, d : 12, weight = 0.500000, result = 4
group25, d : 22, weight = 0.500000, result = 9
group25, d : 42, weight = 0.500000, result = 10
group25, d : 52, weight = 0.375000, result = 11
group25, d : 72, weight = 0.375000, result = 7
group25, d : 62, weight = 0.375000, result = 6
group25, d : 292, weight = 0.375000, result = 11
group25, d : 32, weight = 0.375000, result = 9
group25, d : 82, weight = 0.375000, result = 12
group25, d : 272, weight = 0.500000, result = 8
group25, d : 92, weight = 0.500000, result = 2
group25, d : 422, weight = 0.500000, result = 8
group25, d : 202, weight = 0.500000, result = 9
group25, d : 333, weight = 0.250000, result = 12
group25, d : 263, weight = 0.250000, result = 10
group25, d : 493, weight = 0.250000, result = 8
group25, d : 473, weight = 0.250000, result = 6
group25, d : 443, weight = 0.250000, result = 6
group25, d : 403, weight = 0.250000, result = 8
group25, d : 413, weight = 0.250000, result = 10
group25, d : 313, weight = 0.250000, result = 9
group25, d : 383, weight = 0.250000, result = 4
group25, d : 2, weight = 0.500000, result = 4
group25, d : 213, weight = 0.250000, result = 9
group25, d : 153, weight = 0.250000, result = 10
group25, d : 113, weight = 0.250000, result = 7
group25, d : 183, weight = 0.250000, result = 9
group25, d : 123, weight = 0.250000, result = 4
group25, d : 173, weight = 0.250000, result = 9
group25, d : 282, weight = 0.500000, result = 8
group25, d : 103, weight = 0.250000, result = 8
group25, d : 13, weight = 0.250000, result = 13
group25, d : 23, weight = 0.250000, result = 13
group25, d : 133, weight = 0.250000, result = 12
group25, d : 43, weight = 0.250000, result = 12
group25, d : 462, weight = 0.500000, result = 10
group25, d : 322, weight = 0.500000, result = 7
group25, d : 452, weight = 0.500000, result = 6
group25, d : 482, weight = 0.500000, result = 5
group25, d : 352, weight = 0.500000, result = 4
group25, d : 432, weight = 0.500000, result = 14
group25, d : 242, weight = 0.500000, result = 9
group25, d : 362, weight = 0.500000, result = 11
group25, d : 252, weight = 0.500000, result = 6
group25, d : 142, weight = 0.500000, result = 7
group25, d : 233, weight = 0.250000, result = 9
group25, d : 302, weight = 0.500000, result = 7
group25, d : 192, weight = 0.500000, result = 12
group25, d : 162, weight = 0.500000, result = 11
group25, d : 342, weight = 0.500000, result = 12
group25, d : 392, weight = 0.500000, result = 10
group25, d : 222, weight = 0.500000, result = 7
group25, d : 372, weight = 0.500000, result = 9
group25, d : 52, weight = 0.500000, result = 10
group25, d : 72, weight = 0.500000, result = 6
group25, d : 62, weight = 0.500000, result = 8
group25, d : 292, weight = 0.500000, result = 12
group25, d : 32, weight = 0.500000, result = 13
group25, d : 82, weight = 0.500000, result = 10
group25, d : 93, weight = 0.250000, result = 12
group25, d : 273, weight = 0.250000, result = 12
group25, d : 423, weight = 0.250000, result = 12
group25, d : 203, weight = 0.250000, result = 5
group25, d : 333, weight = 0.375000, result = 8
group25, d : 263, weight = 0.375000, result = 11
group25, d : 493, weight = 0.375000, result = 18
group25, d : 473, weight = 0.375000, result = 7
group25, d : 403, weight = 0.375000, result = 8
group25, d : 443, weight = 0.375000, result = 3
group25, d : 413, weight = 0.375000, result = 8
group25, d : 313, weight = 0.375000, result = 10
group25, d : 383, weight = 0.375000, result = 17
group25, d : 213, weight = 0.375000, result = 11
group25, d : 153, weight = 0.375000, result = 6
group25, d : 113, weight = 0.375000, result = 10
group25, d : 183, weight = 0.375000, result = 12
group25, d : 283, weight = 0.250000, result = 10
group25, d : 173, weight = 0.375000, result = 9
group25, d : 23, weight = 0.375000, result = 7
group25, d : 13, weight = 0.375000, result = 11
group25, d : 133, weight = 0.375000, result = 12
group25, d : 43, weight = 0.375000, result = 4
group25, d : 3, weight = 0.250000, result = 12
group25, d : 103, weight = 0.375000, result = 8
group25, d : 123, weight = 0.375000, result = 11
group25, d : 323, weight = 0.250000, result = 9
group25, d : 463, weight = 0.250000, result = 11
group25, d : 453, weight = 0.250000, result = 9
group25, d : 433, weight = 0.250000, result = 12
group25, d : 353, weight = 0.250000, result = 9
group25, d : 483, weight = 0.250000, result = 12
group25, d : 363, weight = 0.250000, result = 9
group25, d : 243, weight = 0.250000, result = 12
group25, d : 253, weight = 0.250000, result = 8
group25, d : 143, weight = 0.250000, result = 8
group25, d : 303, weight = 0.250000, result = 10
group25, d : 233, weight = 0.375000, result = 9
group25, d : 193, weight = 0.250000, result = 10
group25, d : 343, weight = 0.250000, result = 11
group25, d : 93, weight = 0.375000, result = 7
group25, d : 223, weight = 0.250000, result = 15
group25, d : 163, weight = 0.250000, result = 15
group25, d : 393, weight = 0.250000, result = 11
