,0.25,0.375,0.5
530,5.0,11.0,25.0
531,10.0,7.0,10.0
532,13.0,9.0,22.0
533,21.0,19.0,4.0
534,16.0,14.0,16.0
535,19.0,15.0,8.0
536,9.0,13.0,9.0
537,8.0,9.0,32.0
538,12.0,14.0,26.0
539,15.0,15.0,4.0
540,10.0,17.0,13.0
541,12.0,14.0,8.0
542,13.0,5.0,5.0
543,4.0,24.0,11.0
544,8.0,14.0,6.0
545,12.0,15.0,9.0
546,8.0,8.0,6.0
547,17.0,16.0,10.0
548,16.0,14.0,12.0
549,9.0,6.0,7.0
550,16.0,6.0,9.0
551,15.0,8.0,7.0
552,12.0,10.0,11.0
553,13.0,13.0,9.0
554,16.0,7.0,7.0
555,11.0,10.0,3.0
556,10.0,14.0,10.0
557,9.0,11.0,9.0
558,11.0,7.0,2.0
559,8.0,24.0,10.0
560,15.0,12.0,18.0
561,6.0,22.0,8.0
562,10.0,5.0,10.0
563,14.0,8.0,6.0
564,17.0,20.0,11.0
565,7.0,12.0,27.0
566,12.0,14.0,11.0
567,8.0,12.0,4.0
568,13.0,18.0,11.0
569,7.0,9.0,10.0
570,16.0,9.0,13.0
571,20.0,22.0,38.0
572,13.0,11.0,10.0
573,10.0,18.0,26.0
574,13.0,8.0,15.0
575,8.0,9.0,6.0
576,11.0,9.0,12.0
577,10.0,16.0,12.0
578,13.0,23.0,21.0
579,11.0,7.0,10.0
580,14.0,25.0,23.0
581,7.0,22.0,9.0
582,13.0,13.0,37.0
583,12.0,11.0,7.0
584,13.0,12.0,14.0
585,15.0,8.0,21.0
586,14.0,11.0,12.0
587,14.0,8.0,9.0
588,11.0,22.0,25.0
589,14.0,10.0,5.0
590,11.0,12.0,7.0
591,14.0,6.0,8.0
592,7.0,7.0,8.0
593,10.0,8.0,25.0
594,14.0,16.0,16.0
595,14.0,11.0,16.0
596,9.0,10.0,6.0
597,11.0,13.0,13.0
598,15.0,12.0,6.0
599,8.0,8.0,7.0
600,11.0,15.0,6.0
601,12.0,10.0,12.0
602,13.0,10.0,20.0
603,10.0,13.0,7.0
604,14.0,10.0,3.0
605,8.0,9.0,10.0
606,13.0,16.0,9.0
607,9.0,10.0,26.0
608,7.0,4.0,16.0
609,10.0,13.0,21.0
610,14.0,12.0,12.0
611,10.0,15.0,8.0
612,15.0,11.0,12.0
613,16.0,10.0,8.0
614,17.0,6.0,7.0
615,7.0,13.0,9.0
616,13.0,18.0,11.0
617,10.0,9.0,6.0
618,11.0,8.0,8.0
619,12.0,11.0,11.0
620,8.0,11.0,8.0
621,5.0,21.0,9.0
622,11.0,15.0,10.0
623,11.0,11.0,17.0
624,11.0,12.0,7.0
625,13.0,23.0,9.0
626,12.0,6.0,4.0
627,14.0,14.0,13.0
628,15.0,20.0,7.0
629,15.0,18.0,10.0
630,15.0,21.0,9.0
631,11.0,7.0,22.0
632,5.0,10.0,25.0
633,14.0,17.0,11.0
634,16.0,11.0,5.0
635,8.0,24.0,8.0
636,12.0,6.0,3.0
637,11.0,14.0,14.0
638,17.0,14.0,9.0
639,11.0,10.0,9.0
640,9.0,7.0,10.0
641,16.0,11.0,6.0
642,11.0,6.0,19.0
643,13.0,14.0,18.0
644,10.0,7.0,10.0
645,7.0,11.0,6.0
646,8.0,13.0,11.0
647,4.0,8.0,11.0
648,10.0,10.0,5.0
649,7.0,15.0,16.0
650,13.0,7.0,11.0
651,11.0,8.0,4.0
652,18.0,10.0,25.0
653,15.0,20.0,10.0
654,11.0,13.0,5.0
655,10.0,12.0,9.0
656,16.0,7.0,9.0
657,8.0,11.0,10.0
658,11.0,10.0,14.0
659,16.0,20.0,11.0
660,12.0,23.0,24.0
661,9.0,12.0,21.0
662,12.0,13.0,6.0
663,17.0,6.0,19.0
664,12.0,12.0,8.0
665,11.0,14.0,22.0
666,6.0,13.0,6.0
667,11.0,11.0,9.0
668,13.0,12.0,12.0
669,10.0,8.0,6.0
670,10.0,13.0,7.0
671,15.0,17.0,14.0
672,10.0,9.0,8.0
673,12.0,22.0,10.0
674,8.0,17.0,32.0
675,15.0,26.0,29.0
676,10.0,22.0,28.0
677,14.0,22.0,7.0
678,7.0,6.0,12.0
679,11.0,13.0,9.0
680,10.0,9.0,8.0
681,11.0,5.0,9.0
682,10.0,13.0,10.0
683,16.0,15.0,12.0
684,12.0,14.0,31.0
685,13.0,14.0,21.0
686,14.0,12.0,26.0
687,15.0,14.0,8.0
688,5.0,20.0,8.0
689,7.0,11.0,26.0
690,15.0,11.0,8.0
691,7.0,8.0,5.0
692,12.0,14.0,11.0
693,13.0,6.0,6.0
694,13.0,10.0,10.0
695,9.0,9.0,7.0
696,11.0,18.0,14.0
697,11.0,8.0,9.0
698,13.0,5.0,1.0
699,16.0,20.0,9.0
700,12.0,10.0,9.0
701,12.0,8.0,12.0
702,13.0,17.0,10.0
703,13.0,23.0,4.0
704,19.0,5.0,24.0
705,4.0,9.0,28.0
706,8.0,18.0,4.0
707,10.0,6.0,14.0
708,13.0,15.0,8.0
709,12.0,13.0,15.0
710,8.0,5.0,13.0
711,17.0,16.0,8.0
712,12.0,12.0,4.0
713,10.0,8.0,4.0
714,9.0,14.0,5.0
715,10.0,13.0,8.0
716,13.0,11.0,8.0
717,8.0,14.0,29.0
718,7.0,7.0,21.0
719,11.0,10.0,6.0
720,6.0,7.0,5.0
721,10.0,11.0,8.0
722,8.0,24.0,6.0
723,12.0,12.0,21.0
724,15.0,10.0,13.0
725,9.0,7.0,15.0
726,17.0,20.0,9.0
727,7.0,4.0,4.0
728,7.0,8.0,15.0
729,12.0,6.0,14.0
730,15.0,15.0,27.0
731,13.0,10.0,10.0
732,6.0,12.0,13.0
733,14.0,15.0,10.0
734,13.0,8.0,37.0
735,11.0,22.0,14.0
736,24.0,11.0,7.0
737,16.0,6.0,6.0
738,12.0,16.0,20.0
739,13.0,20.0,7.0
740,11.0,7.0,5.0
741,13.0,4.0,31.0
742,7.0,12.0,5.0
743,15.0,10.0,11.0
744,13.0,11.0,23.0
745,12.0,11.0,9.0
746,10.0,8.0,11.0
747,10.0,11.0,10.0
748,20.0,3.0,26.0
749,11.0,19.0,9.0
750,12.0,14.0,11.0
751,7.0,13.0,13.0
752,10.0,10.0,6.0
753,10.0,18.0,8.0
754,16.0,11.0,15.0
755,11.0,14.0,9.0
756,14.0,12.0,26.0
757,10.0,8.0,8.0
758,12.0,10.0,11.0
759,12.0,12.0,9.0
760,15.0,13.0,23.0
761,9.0,13.0,2.0
762,11.0,11.0,6.0
763,11.0,12.0,11.0
764,10.0,4.0,10.0
765,8.0,13.0,10.0
766,17.0,18.0,34.0
767,6.0,16.0,9.0
768,12.0,11.0,11.0
769,12.0,12.0,14.0
770,8.0,4.0,7.0
771,17.0,5.0,8.0
772,10.0,8.0,11.0
773,10.0,6.0,8.0
774,10.0,13.0,7.0
775,15.0,11.0,9.0
776,5.0,14.0,15.0
777,7.0,6.0,8.0
778,17.0,23.0,9.0
779,13.0,5.0,18.0
780,6.0,18.0,12.0
781,6.0,10.0,9.0
782,8.0,7.0,7.0
783,13.0,13.0,10.0
784,6.0,12.0,27.0
785,15.0,15.0,8.0
786,16.0,21.0,6.0
787,12.0,9.0,11.0
788,9.0,7.0,9.0
789,13.0,9.0,32.0
790,10.0,12.0,12.0
791,15.0,8.0,10.0
792,7.0,8.0,9.0
793,8.0,12.0,11.0
794,8.0,11.0,21.0
795,7.0,14.0,9.0
796,18.0,12.0,9.0
797,9.0,18.0,23.0
798,13.0,22.0,6.0
799,7.0,13.0,23.0
800,18.0,6.0,19.0
801,17.0,24.0,11.0
802,15.0,17.0,14.0
803,13.0,7.0,7.0
804,8.0,6.0,8.0
805,17.0,25.0,10.0
806,17.0,8.0,12.0
807,10.0,12.0,6.0
808,13.0,5.0,24.0
809,9.0,22.0,17.0
810,19.0,10.0,8.0
811,16.0,11.0,2.0
812,16.0,6.0,8.0
813,11.0,17.0,9.0
814,12.0,17.0,8.0
815,14.0,20.0,20.0
816,9.0,16.0,11.0
817,13.0,9.0,7.0
818,14.0,12.0,9.0
819,13.0,13.0,14.0
820,14.0,11.0,13.0
821,8.0,13.0,5.0
822,13.0,10.0,14.0
823,9.0,14.0,23.0
