,0.25,0.375,0.5
667,4.0,9.0,11.0
668,19.0,12.0,6.0
669,19.0,10.0,24.0
670,9.0,12.0,19.0
671,13.0,17.0,26.0
672,9.0,8.0,21.0
673,13.0,17.0,9.0
674,15.0,14.0,9.0
675,9.0,12.0,10.0
676,13.0,20.0,9.0
677,12.0,7.0,5.0
678,14.0,24.0,6.0
679,11.0,8.0,10.0
680,14.0,9.0,10.0
681,14.0,15.0,5.0
682,12.0,9.0,6.0
683,8.0,14.0,11.0
684,11.0,9.0,8.0
685,11.0,26.0,7.0
686,26.0,14.0,10.0
687,13.0,8.0,10.0
688,10.0,10.0,30.0
689,15.0,5.0,10.0
690,11.0,9.0,8.0
691,7.0,8.0,13.0
692,11.0,20.0,9.0
693,9.0,10.0,18.0
694,10.0,26.0,6.0
695,14.0,8.0,5.0
696,23.0,7.0,11.0
697,15.0,22.0,20.0
698,9.0,15.0,11.0
699,12.0,9.0,6.0
700,17.0,13.0,6.0
701,6.0,9.0,10.0
702,12.0,6.0,5.0
703,8.0,8.0,10.0
704,12.0,11.0,9.0
705,18.0,13.0,14.0
706,12.0,14.0,22.0
707,17.0,7.0,9.0
708,12.0,13.0,7.0
709,13.0,6.0,9.0
710,14.0,13.0,10.0
711,16.0,21.0,11.0
712,11.0,14.0,24.0
713,14.0,8.0,16.0
714,9.0,9.0,17.0
715,12.0,12.0,9.0
716,8.0,12.0,31.0
717,13.0,8.0,19.0
718,10.0,12.0,30.0
719,17.0,7.0,13.0
720,16.0,19.0,29.0
721,9.0,18.0,9.0
722,13.0,10.0,13.0
723,13.0,8.0,9.0
724,15.0,18.0,7.0
725,10.0,3.0,8.0
726,13.0,12.0,13.0
727,13.0,18.0,7.0
728,15.0,11.0,6.0
729,19.0,18.0,5.0
730,11.0,10.0,21.0
731,14.0,10.0,7.0
732,12.0,11.0,26.0
733,10.0,19.0,13.0
734,10.0,13.0,12.0
735,15.0,12.0,5.0
736,17.0,8.0,22.0
737,11.0,2.0,5.0
738,9.0,22.0,10.0
739,9.0,12.0,21.0
740,17.0,14.0,9.0
741,20.0,10.0,7.0
742,13.0,19.0,6.0
743,13.0,13.0,10.0
744,12.0,9.0,9.0
745,10.0,18.0,4.0
746,16.0,6.0,29.0
747,17.0,9.0,12.0
748,12.0,14.0,17.0
749,10.0,11.0,11.0
750,14.0,17.0,4.0
751,14.0,9.0,9.0
752,11.0,21.0,12.0
753,6.0,16.0,19.0
754,19.0,10.0,8.0
755,9.0,14.0,11.0
756,11.0,8.0,9.0
757,8.0,16.0,37.0
758,21.0,7.0,10.0
759,8.0,21.0,21.0
760,11.0,9.0,6.0
761,8.0,15.0,11.0
762,12.0,9.0,14.0
763,20.0,8.0,9.0
764,11.0,19.0,10.0
765,10.0,12.0,8.0
766,10.0,13.0,13.0
767,11.0,5.0,2.0
768,9.0,15.0,10.0
769,12.0,12.0,11.0
770,11.0,13.0,8.0
771,20.0,10.0,12.0
772,12.0,8.0,9.0
773,11.0,9.0,7.0
774,11.0,8.0,5.0
775,11.0,10.0,21.0
776,10.0,30.0,6.0
777,9.0,12.0,9.0
778,6.0,13.0,6.0
779,9.0,9.0,11.0
780,9.0,7.0,6.0
781,9.0,26.0,12.0
782,18.0,11.0,10.0
783,11.0,13.0,12.0
784,14.0,13.0,23.0
785,13.0,13.0,4.0
786,12.0,20.0,8.0
787,7.0,18.0,9.0
788,19.0,6.0,8.0
789,14.0,12.0,27.0
790,15.0,7.0,29.0
791,14.0,19.0,28.0
792,9.0,13.0,7.0
793,11.0,25.0,10.0
794,10.0,6.0,5.0
795,11.0,8.0,8.0
796,7.0,5.0,23.0
797,10.0,22.0,17.0
798,11.0,11.0,7.0
799,8.0,15.0,9.0
