group : 2, d : 202, weight = 0.100000, result = 11
group : 2, d : 112, weight = 0.100000, result = 6
group : 2, d : 212, weight = 0.100000, result = 11
group : 2, d : 402, weight = 0.100000, result = 11
group : 2, d : 332, weight = 0.100000, result = 16
group : 2, d : 182, weight = 0.100000, result = 14
group : 2, d : 162, weight = 0.100000, result = 20
group : 2, d : 82, weight = 0.100000, result = 11
group : 2, d : 382, weight = 0.100000, result = 9
group : 2, d : 422, weight = 0.100000, result = 9
group : 2, d : 352, weight = 0.100000, result = 11
group : 2, d : 262, weight = 0.100000, result = 10
group : 2, d : 452, weight = 0.100000, result = 14
group : 2, d : 442, weight = 0.100000, result = 10
group : 2, d : 362, weight = 0.100000, result = 5
group : 2, d : 2, weight = 0.100000, result = 7
group : 2, d : 152, weight = 0.100000, result = 12
group : 2, d : 242, weight = 0.100000, result = 12
group : 2, d : 432, weight = 0.100000, result = 7
group : 1, d : 393, weight = 0.100000, result = 14
group : 2, d : 322, weight = 0.100000, result = 11
group : 2, d : 472, weight = 0.100000, result = 16
group : 2, d : 482, weight = 0.100000, result = 8
group : 2, d : 462, weight = 0.100000, result = 16
group : 2, d : 412, weight = 0.100000, result = 13
group : 2, d : 372, weight = 0.100000, result = 17
group : 2, d : 52, weight = 0.100000, result = 17
group : 2, d : 142, weight = 0.100000, result = 10
group : 2, d : 42, weight = 0.100000, result = 10
group : 2, d : 22, weight = 0.100000, result = 7
group : 2, d : 232, weight = 0.100000, result = 8
group : 2, d : 32, weight = 0.100000, result = 11
group : 2, d : 192, weight = 0.100000, result = 12
group : 2, d : 62, weight = 0.100000, result = 18
group : 2, d : 122, weight = 0.100000, result = 11
group : 1, d : 343, weight = 0.100000, result = 15
group : 1, d : 293, weight = 0.100000, result = 16
group : 1, d : 303, weight = 0.100000, result = 10
group : 2, d : 493, weight = 0.100000, result = 16
group : 1, d : 313, weight = 0.100000, result = 13
group : 3, d : 12, weight = 0.100000, result = 39
group : 1, d : 73, weight = 0.100000, result = 13
group : 3, d : 102, weight = 0.100000, result = 8
group : 1, d : 173, weight = 0.100000, result = 9
group : 3, d : 222, weight = 0.100000, result = 11
group : 2, d : 393, weight = 0.100000, result = 13
