d : 502, weight = 0.100000, result = 11
d : 422, weight = 0.100000, result = 13
d : 562, weight = 0.100000, result = 10
d : 552, weight = 0.100000, result = 6
d : 472, weight = 0.100000, result = 11
d : 742, weight = 0.100000, result = 9
d : 542, weight = 0.100000, result = 18
d : 242, weight = 0.100000, result = 11
d : 572, weight = 0.100000, result = 8
d : 662, weight = 0.100000, result = 5
d : 222, weight = 0.100000, result = 10
d : 652, weight = 0.100000, result = 6
d : 372, weight = 0.100000, result = 5
d : 632, weight = 0.100000, result = 4
d : 182, weight = 0.100000, result = 4
d : 332, weight = 0.100000, result = 8
d : 452, weight = 0.100000, result = 6
d : 282, weight = 0.100000, result = 10
d : 492, weight = 0.100000, result = 9
d : 602, weight = 0.100000, result = 9
d : 292, weight = 0.100000, result = 6
d : 52, weight = 0.100000, result = 9
d : 272, weight = 0.100000, result = 4
d : 232, weight = 0.100000, result = 9
d : 212, weight = 0.100000, result = 5
d : 352, weight = 0.100000, result = 6
d : 402, weight = 0.100000, result = 4
d : 322, weight = 0.100000, result = 5
d : 252, weight = 0.100000, result = 5
d : 392, weight = 0.100000, result = 10
d : 382, weight = 0.100000, result = 7
d : 262, weight = 0.100000, result = 10
d : 512, weight = 0.100000, result = 9
d : 342, weight = 0.100000, result = 7
d : 692, weight = 0.200000, result = 104
d : 112, weight = 0.100000, result = 108
d : 642, weight = 0.200000, result = 4
d : 192, weight = 0.100000, result = 8
d : 412, weight = 0.100000, result = 4
d : 482, weight = 0.100000, result = 6
d : 442, weight = 0.100000, result = 15
d : 432, weight = 0.100000, result = 7
d : 702, weight = 0.200000, result = 5
d : 302, weight = 0.100000, result = 9
d : 152, weight = 0.100000, result = 8
d : 72, weight = 0.100000, result = 8
d : 172, weight = 0.100000, result = 8
d : 22, weight = 0.100000, result = 14
d : 102, weight = 0.100000, result = 11
d : 362, weight = 0.100000, result = 11
d : 132, weight = 0.100000, result = 11
d : 2, weight = 0.100000, result = 6
d : 82, weight = 0.100000, result = 10
d : 312, weight = 0.100000, result = 7
d : 162, weight = 0.100000, result = 6
d : 142, weight = 0.100000, result = 7
d : 62, weight = 0.100000, result = 8
d : 202, weight = 0.100000, result = 108
d : 92, weight = 0.100000, result = 9
d : 592, weight = 0.200000, result = 5
d : 732, weight = 0.200000, result = 5
d : 122, weight = 0.100000, result = 3
d : 612, weight = 0.200000, result = 10
d : 42, weight = 0.100000, result = 12
d : 32, weight = 0.100000, result = 7
d : 682, weight = 0.200000, result = 2
d : 12, weight = 0.100000, result = 10
d : 622, weight = 0.200000, result = 9
d : 672, weight = 0.200000, result = 4
d : 532, weight = 0.200000, result = 11
d : 722, weight = 0.200000, result = 4
d : 712, weight = 0.200000, result = 5
d : 522, weight = 0.200000, result = 10
d : 462, weight = 0.200000, result = 6
d : 582, weight = 0.200000, result = 6
d : 502, weight = 0.200000, result = 9
d : 562, weight = 0.200000, result = 4
d : 422, weight = 0.200000, result = 8
d : 572, weight = 0.200000, result = 5
d : 552, weight = 0.200000, result = 9
d : 742, weight = 0.200000, result = 8
d : 472, weight = 0.200000, result = 7
d : 242, weight = 0.200000, result = 8
d : 222, weight = 0.200000, result = 6
d : 542, weight = 0.200000, result = 7
d : 662, weight = 0.200000, result = 8
d : 292, weight = 0.200000, result = 9
d : 182, weight = 0.200000, result = 6
d : 652, weight = 0.200000, result = 10
d : 692, weight = 0.500000, result = 5
d : 272, weight = 0.200000, result = 11
d : 632, weight = 0.200000, result = 108
d : 642, weight = 0.500000, result = 2
d : 322, weight = 0.200000, result = 10
d : 332, weight = 0.200000, result = 10
d : 232, weight = 0.200000, result = 7
d : 372, weight = 0.200000, result = 7
d : 252, weight = 0.200000, result = 7
d : 702, weight = 0.500000, result = 4
d : 282, weight = 0.200000, result = 6
d : 602, weight = 0.200000, result = 7
d : 212, weight = 0.200000, result = 9
d : 492, weight = 0.200000, result = 8
d : 452, weight = 0.200000, result = 7
d : 52, weight = 0.200000, result = 108
d : 442, weight = 0.200000, result = 5
d : 352, weight = 0.200000, result = 4
d : 512, weight = 0.200000, result = 5
d : 392, weight = 0.200000, result = 102
d : 402, weight = 0.200000, result = 6
d : 382, weight = 0.200000, result = 8
d : 192, weight = 0.200000, result = 9
d : 262, weight = 0.200000, result = 5
d : 342, weight = 0.200000, result = 7
d : 482, weight = 0.200000, result = 8
d : 412, weight = 0.200000, result = 5
d : 112, weight = 0.200000, result = 4
d : 432, weight = 0.200000, result = 5
d : 302, weight = 0.200000, result = 8
d : 152, weight = 0.200000, result = 6
d : 592, weight = 0.500000, result = 4
d : 82, weight = 0.200000, result = 7
d : 102, weight = 0.200000, result = 9
d : 72, weight = 0.200000, result = 9
d : 172, weight = 0.200000, result = 2
d : 312, weight = 0.200000, result = 6
d : 22, weight = 0.200000, result = 10
d : 2, weight = 0.200000, result = 6
d : 362, weight = 0.200000, result = 107
d : 162, weight = 0.200000, result = 6
d : 142, weight = 0.200000, result = 7
d : 132, weight = 0.200000, result = 6
d : 612, weight = 0.500000, result = 3
d : 62, weight = 0.200000, result = 7
d : 732, weight = 0.500000, result = 103
d : 202, weight = 0.200000, result = 7
d : 92, weight = 0.200000, result = 6
d : 122, weight = 0.200000, result = 10
d : 682, weight = 0.500000, result = 3
d : 722, weight = 0.500000, result = 2
d : 622, weight = 0.500000, result = 6
d : 672, weight = 0.500000, result = 4
d : 42, weight = 0.200000, result = 6
d : 32, weight = 0.200000, result = 9
d : 712, weight = 0.500000, result = 4
d : 12, weight = 0.200000, result = 7
d : 532, weight = 0.500000, result = 4
d : 522, weight = 0.500000, result = 2
d : 572, weight = 0.500000, result = 2
d : 462, weight = 0.500000, result = 9
d : 582, weight = 0.500000, result = 1
d : 502, weight = 0.500000, result = 6
d : 562, weight = 0.500000, result = 5
d : 742, weight = 0.500000, result = 4
d : 643, weight = 0.100000, result = 5
d : 552, weight = 0.500000, result = 1
d : 422, weight = 0.500000, result = 8
d : 242, weight = 0.500000, result = 3
d : 222, weight = 0.500000, result = 8
d : 703, weight = 0.100000, result = 4
d : 292, weight = 0.500000, result = 6
d : 602, weight = 0.500000, result = 2
d : 472, weight = 0.500000, result = 7
d : 272, weight = 0.500000, result = 8
d : 322, weight = 0.500000, result = 3
d : 693, weight = 0.100000, result = 5
d : 332, weight = 0.500000, result = 6
d : 542, weight = 0.500000, result = 3
d : 662, weight = 0.500000, result = 2
d : 252, weight = 0.500000, result = 6
d : 182, weight = 0.500000, result = 2
d : 652, weight = 0.500000, result = 2
d : 232, weight = 0.500000, result = 3
d : 632, weight = 0.500000, result = 4
d : 212, weight = 0.500000, result = 7
d : 282, weight = 0.500000, result = 9
d : 372, weight = 0.500000, result = 6
d : 492, weight = 0.500000, result = 5
d : 452, weight = 0.500000, result = 4
d : 593, weight = 0.100000, result = 9
d : 352, weight = 0.500000, result = 6
d : 52, weight = 0.500000, result = 3
d : 442, weight = 0.500000, result = 4
d : 192, weight = 0.500000, result = 9
d : 512, weight = 0.500000, result = 4
d : 392, weight = 0.500000, result = 2
d : 613, weight = 0.100000, result = 7
d : 402, weight = 0.500000, result = 2
d : 382, weight = 0.500000, result = 4
d : 342, weight = 0.500000, result = 4
d : 482, weight = 0.500000, result = 4
d : 412, weight = 0.500000, result = 4
d : 262, weight = 0.500000, result = 7
d : 312, weight = 0.500000, result = 3
d : 362, weight = 0.500000, result = 2
d : 152, weight = 0.500000, result = 3
d : 112, weight = 0.500000, result = 5
d : 302, weight = 0.500000, result = 2
d : 432, weight = 0.500000, result = 6
d : 82, weight = 0.500000, result = 4
d : 102, weight = 0.500000, result = 5
d : 72, weight = 0.500000, result = 4
d : 22, weight = 0.500000, result = 3
d : 172, weight = 0.500000, result = 6
d : 162, weight = 0.500000, result = 5
d : 2, weight = 0.500000, result = 5
d : 62, weight = 0.500000, result = 7
d : 132, weight = 0.500000, result = 6
d : 733, weight = 0.100000, result = 3
d : 142, weight = 0.500000, result = 4
d : 202, weight = 0.500000, result = 2
d : 92, weight = 0.500000, result = 5
d : 713, weight = 0.100000, result = 9
d : 683, weight = 0.100000, result = 7
d : 122, weight = 0.500000, result = 9
d : 723, weight = 0.100000, result = 5
d : 673, weight = 0.100000, result = 4
d : 623, weight = 0.100000, result = 9
d : 42, weight = 0.500000, result = 4
d : 533, weight = 0.100000, result = 5
d : 32, weight = 0.500000, result = 4
d : 12, weight = 0.500000, result = 6
d : 573, weight = 0.100000, result = 8
d : 523, weight = 0.100000, result = 10
d : 643, weight = 0.200000, result = 10
d : 703, weight = 0.200000, result = 3
d : 583, weight = 0.100000, result = 8
d : 463, weight = 0.100000, result = 11
d : 603, weight = 0.100000, result = 3
d : 243, weight = 0.100000, result = 11
d : 503, weight = 0.100000, result = 11
d : 293, weight = 0.100000, result = 5
d : 743, weight = 0.100000, result = 7
d : 323, weight = 0.100000, result = 7
d : 563, weight = 0.100000, result = 9
d : 273, weight = 0.100000, result = 10
d : 223, weight = 0.100000, result = 6
d : 333, weight = 0.100000, result = 5
d : 553, weight = 0.100000, result = 5
d : 423, weight = 0.100000, result = 7
d : 693, weight = 0.200000, result = 2
d : 253, weight = 0.100000, result = 5
d : 233, weight = 0.100000, result = 9
d : 473, weight = 0.100000, result = 9
d : 663, weight = 0.100000, result = 9
d : 183, weight = 0.100000, result = 8
d : 543, weight = 0.100000, result = 8
d : 653, weight = 0.100000, result = 12
d : 633, weight = 0.100000, result = 6
d : 283, weight = 0.100000, result = 8
d : 213, weight = 0.100000, result = 13
d : 613, weight = 0.200000, result = 7
d : 593, weight = 0.200000, result = 10
d : 493, weight = 0.100000, result = 4
d : 453, weight = 0.100000, result = 13
d : 373, weight = 0.100000, result = 10
d : 313, weight = 0.100000, result = 13
d : 363, weight = 0.100000, result = 10
d : 353, weight = 0.100000, result = 9
d : 193, weight = 0.100000, result = 7
d : 443, weight = 0.100000, result = 106
d : 53, weight = 0.100000, result = 3
d : 393, weight = 0.100000, result = 9
d : 263, weight = 0.100000, result = 10
d : 513, weight = 0.100000, result = 6
d : 413, weight = 0.100000, result = 3
